Tempos
0.004742
0.004430
0.003234
0.003257
0.003155
0.003134
0.003106
0.002763
0.003980
0.003227
0.002843
0.004638
0.004075
0.002946
0.004507
0.002809
0.004380
0.004722
0.004552
0.003015
