Tempos
0.278707
0.277881
0.276454
0.283261
0.285465
0.282023
0.295767
0.286866
0.291516
0.285915
0.284480
0.291173
0.330204
0.279644
0.291733
0.283101
0.288370
0.284371
0.285723
0.290773
0.283960
