Tempos
0.000144
0.000000
0.000102
0.000102
0.000101
0.000099
0.000097
0.000097
0.000156
0.000102
0.000099
0.000000
0.000102
0.000077
0.000138
0.000161
0.000107
0.000102
0.000146
0.000098
